gene,synonyms,bnumber,strand,start,end
thrL,b0001;ECK0001;JW4367,b0001,True,189,255
lolC,b1116;ECK1102;JW5161,b1116,True,1006798,1007998
lolD,b1117;ECK1103;JW5162,b1117,True,1007990,1008692
lolE,b1118;ECK1104;JW1104,b1118,True,1008691,1009936
ycfX,b1119;ECK1105;JW1105,b1119,True,1009964,1010876
cobB,b1120;ECK1106;JW1106,b1120,True,1010891,1011731
ycfZ,b1121;ECK1107;JW1107,b1121,True,1011850,1012639
ymfA,b1122;ECK1108;JW5164,b1122,True,1012635,1013097
potD,b1123;ECK1109;JW1109,b1123,True,1013154,1014201
potC,b1124;ECK1110;JW1110,b1124,True,1014197,1014992
potB,b1125;ECK1111;JW1111,b1125,True,1014988,1015816
potA,b1126;ECK1112;JW1112,b1126,True,1015829,1016966
pepT,b1127;ECK1113;JW1113,b1127,True,1017215,1018442
ycfD,b1128;ECK1114;JW1114,b1128,True,1018490,1019612
phoQ,b1129;ECK1115;JW1115,b1129,True,1019687,1021148
phoP,b1130;ECK1116;JW1116,b1130,True,1021147,1021819
purB,b1131;ECK1117;JW1117,b1131,True,1021987,1023358
hflD,b1132;ECK1118;JW5165,b1132,True,1023361,1024003
trmU,b1133;ECK1119;JW1119,b1133,True,1024038,1025145
ymfB,b1134;ECK1120;JW1120,b1134,True,1025198,1025660
ymfC,b1135;ECK1121;JW1121,b1135,True,1025669,1026323
icd,b1136;ECK1122;JW1122,b1136,True,1026494,1027745
icdC,b4519;ECK1146;JW5173,b4519,True,1027592,1027745
ymgH,b4521;ECK1160;JW5179,b4521,True,1028892,1029114
ycgI,b1173;ECK1161;JW1162,b1173,True,1029122,1029335
minE,b1174;ECK1162;JW1163,b1174,True,1029706,1029973
minD,b1175;ECK1163;JW1164,b1175,True,1029976,1030789
minC,b1176;ECK1164;JW1165,b1176,True,1030812,1031508
ycgJ,b1177;ECK1165;JW1166,b1177,True,1032027,1032396
ycgK,b1178;ECK1166;JW1167,b1178,True,1032498,1032900
ycgL,b1179;ECK1167;JW1168,b1179,True,1033108,1033435
ycgM,b1180;ECK1168;JW1169,b1180,True,1033506,1034166
ycgN,b1181;ECK1169;JW5180,b1181,True,1034257,1034704
hlyE,b1182;ECK1170;JW5181,b1182,True,1034910,1035822
umuD,b1183;ECK1171;JW1172,b1183,True,1036194,1036614
umuC,b1184;ECK1172;JW1173,b1184,True,1036613,1037882
dsbB,b1185;ECK1173;JW5182,b1185,True,1037927,1038458
nhaB,b1186;ECK1174;JW1175,b1186,True,1038603,1040145
fadR,b1187;ECK1175;JW1176,b1187,True,1040365,1041085
ycgB,b1188;ECK1176;JW1177,b1188,True,1041136,1042669
dadA,b1189;ECK1177;JW1178,b1189,True,1042998,1044297
dadX,b1190;ECK1178;JW1179,b1190,True,1044306,1045377
cvrA,b1191;ECK1179;JW5184,b1191,True,1045762,1047499
ldcA,b1192;ECK1180;JW1181,b1192,True,1047593,1048508
emtA,b1193;ECK1181;JW5821,b1193,True,1048607,1049219
ycgR,b1194;ECK1182;JW1183,b1194,True,1049220,1049955
ymgE,b1195;ECK1183;JW1184,b1195,True,1050155,1050410
ycgY,b1196;ECK1184;JW1185,b1196,True,1050587,1051028
treA,b1197;ECK1185;JW1186,b1197,True,1051106,1052804
dhaH,b1198;ECK1186;JW5185,b1198,True,1053123,1054542
dhaL,b1199;ECK1187;JW5186,b1199,True,1054552,1055185
dhaK,b1200;ECK1188;JW5187,b1200,True,1055195,1056266
dhaR,b1201;ECK1189;JW5188,b1201,True,1056493,1058413
ycgV,b1202;ECK1190;JW1193,b1202,True,1058512,1061380
ychF,b1203;ECK1191;JW1194,b1203,True,1062148,1063240
pth,b1204;ECK1192;JW1195,b1204,True,1063356,1063941
ychH,b1205;ECK1193;JW1196,b1205,True,1064218,1064497
ychM,b1206;ECK1194;JW5189,b1206,True,1064551,1066231
prsA,b1207;ECK1195;JW1198,b1207,True,1066355,1067303
ispE,b1208;ECK1196;JW1199,b1208,True,1067453,1068305
lolB,b1209;ECK1197;JW1200,b1209,True,1068304,1068928
hemA,b1210;ECK1198;JW1201,b1210,True,1069141,1070398
prfA,b1211;ECK1199;JW1202,b1211,True,1070439,1071522
prmC,b1212;ECK1200;JW1203,b1212,True,1071521,1072355
ychQ,b1213;ECK1201;JW1204,b1213,True,1072351,1072744
ychA,b1214;ECK1202;JW1205,b1214,True,1072747,1073557
kdsA,b1215;ECK1203;JW1206,b1215,True,1073592,1074447
ldrA,b4419;ECK1204;JW5957,b4419,True,1074595,1074703
rdlA,b4420;ECK1205;JWR0229,b4420,True,1074750,1074817
ldrB,b4421;ECK1206;JW5958,b4421,True,1075130,1075238
rdlB,b4422;ECK1207;JWR0230,b4422,True,1075285,1075351
ldrC,b4423;ECK1208;JW5959,b4423,True,1075665,1075773
rdlC,b4424;ECK1209;JWR0231,b4424,True,1075820,1075888
chaA,b1216;ECK1210;JW1207,b1216,True,1076176,1077277
chaB,b1217;ECK1211;JW1208,b1217,True,1077546,1077777
chaC,b1218;ECK1212;JW1209,b1218,True,1077913,1078630
ychN,b1219;ECK1213;JW1210,b1219,True,1078673,1079027
ychP,b1220;ECK1214;JW1211,b1220,True,1079352,1080606
narL,b1221;ECK1215;JW1212,b1221,True,1080606,1081257
narX,b1222;ECK1216;JW1213,b1222,True,1081249,1083046
narK,b1223;ECK1217;JW1214,b1223,True,1083384,1084776
narG,b1224;ECK1218;JW1215,b1224,True,1085291,1089035
narH,b1225;ECK1219;JW1216,b1225,True,1089031,1090570
narJ,b1226;ECK1220;JW1217,b1226,True,1090566,1091277
narI,b1227;ECK1221;JW1218,b1227,True,1091276,1091954
ychS,b1228;ECK1222;JW5881,b1228,True,1092136,1092412
rttR,b4425;ECK1223;JWR0232,b4425,True,1092493,1092664
tpr,b1229;ECK1224;JW1219,b1229,True,1092514,1092616
tyrV,b1230;ECK1225;JWR0028,b1230,True,1092671,1092756
tyrT,b1231;ECK1226;JWR0029,b1231,True,1092965,1093050
purU,b1232;ECK1227;JW1220,b1232,True,1093209,1094052
ychJ,b1233;ECK1228;JW1221,b1233,True,1094101,1094560
rssA,b1234;ECK1229;JW1222,b1234,True,1094633,1095578
rssB,b1235;ECK1230;JW1223,b1235,True,1095669,1096683
galU,b1236;ECK1231;JW1224,b1236,True,1096884,1097793
hns,b1237;ECK1232;JW1225,b1237,True,1097936,1098350
tdk,b1238;ECK1233;JW1226,b1238,True,1098954,1099572
ychG,b1239;ECK1234;JW1227,b1239,True,1099853,1100444
ychG,b4573;ECK1234;JW5883+JW1227,b4573,True,1100040,1100792
ychG,b1240;ECK1234;JW5883,b1240,True,1100395,1100626
adhE,b1241;ECK1235;JW1228,b1241,True,1100873,1103549
ychE,b1242;ECK1236;JW1229,b1242,True,1104025,1104673
oppA,b1243;ECK1237;JW1235,b1243,True,1105410,1107042
oppB,b1244;ECK1238;JW1236,b1244,True,1107127,1108048
oppC,b1245;ECK1239;JW1237,b1245,True,1108062,1108971
oppD,b1246;ECK1240;JW1238,b1246,True,1108982,1109996
oppF,b1247;ECK1241;JW1239,b1247,True,1109992,1110997
yciU,b1248;ECK1242;JW1240,b1248,True,1111049,1111379
cls,b1249;ECK1243;JW1241,b1249,True,1111413,1112874
kch,b1250;ECK1244;JW1242,b1250,True,1113244,1114498
yciI,b1251;ECK1245;JW1243,b1251,True,1114797,1115094
tonB,b1252;ECK1246;JW5195,b1252,True,1115317,1116037
yciA,b1253;ECK1247;JW1245,b1253,True,1116076,1116475
yciB,b1254;ECK1248;JW1246,b1254,True,1116579,1117119
yciC,b1255;ECK1249;JW1247,b1255,True,1117148,1117892
ompW,b1256;ECK1250;JW1248,b1256,True,1118248,1118887
yciE,b1257;ECK1251;JW1249,b1257,True,1118946,1119453
yciF,b1258;ECK1252;JW1250,b1258,True,1119498,1119999
yciG,b1259;ECK1253;JW1251,b1259,True,1120084,1120264
trpA,b1260;ECK1254;JW1252,b1260,True,1120644,1121451
trpB,b1261;ECK1255;JW1253,b1261,True,1121450,1122644
trpC,b1262;ECK1256;JW1254,b1262,True,1122655,1124014
trpD,b1263;ECK1257;JW1255,b1263,True,1124017,1125613
trpE,b1264;ECK1258;JW1256,b1264,True,1125612,1127175
trpL,b1265;ECK1259;JW1257,b1265,True,1127266,1127311
yciV,b1266;ECK1260;JW1258,b1266,True,1127448,1128330
yciO,b1267;ECK1261;JW5196,b1267,True,1128326,1128947
yciQ,b1268;ECK1262;JW5197,b1268,True,1128974,1130870
rluB,b1269;ECK1263;JW1261,b1269,True,1131080,1131956
btuR,b1270;ECK1264;JW1262,b1270,True,1131995,1132586
yciK,b1271;ECK1265;JW1263,b1271,True,1132582,1133341
sohB,b1272;ECK1266;JW1264,b1272,True,1133560,1134610
yciN,b1273;ECK1267;JW1265,b1273,True,1134645,1134897
topA,b1274;ECK1268;JW1266,b1274,True,1135276,1137874
cysB,b1275;ECK1269;JW1267,b1275,True,1138083,1139058
yciX,b4522;ECK1270;JW5198,b4522,True,1139388,1139517
yciX,b4574;ECK1270;JW5198+JW5199,b4574,True,1139430,1139729
yciX,b4523;ECK1270;JW5199,b4523,True,1139498,1139687
acnA,b1276;ECK1271;JW1268,b1276,True,1140059,1142735
ribA,b1277;ECK1272;JW1269,b1277,True,1142798,1143389
pgpB,b1278;ECK1273;JW1270,b1278,True,1143558,1144323
yciS,b1279;ECK1274;JW1271,b1279,True,1144471,1144780
yciM,b1280;ECK1275;JW1272,b1280,True,1144786,1145956
pyrF,b1281;ECK1276;JW1273,b1281,True,1146149,1146887
yciH,b1282;ECK1277;JW1274,b1282,True,1146886,1147213
osmB,b1283;ECK1278;JW1275,b1283,True,1147338,1147557
yciT,b1284;ECK1279;JW1276,b1284,True,1147825,1148575
gmr,b1285;ECK1280;JW1278,b1285,True,1148985,1150971
rnb,b1286;ECK1281;JW1279,b1286,True,1151206,1153141
yciW,b1287;ECK1282;JW5200,b1287,True,1153208,1154336
fabI,b1288;ECK1283;JW1281,b1288,True,1154479,1155268
ycjD,b1289;ECK1284;JW1282,b1289,True,1155635,1155989
sapF,b1290;ECK1285;JW1283,b1290,True,1156056,1156863
sapD,b1291;ECK1286;JW1284,b1291,True,1156864,1157857
sapC,b1292;ECK1287;JW1285,b1292,True,1157856,1158747
sapB,b1293;ECK1288;JW1286,b1293,True,1158733,1159699
sapA,b1294;ECK1289;JW1287,b1294,True,1159695,1161339
ymjA,b1295;ECK1290;JW1288,b1295,True,1161651,1161897
puuP,b1296;ECK1291;JW1289,b1296,True,1162030,1163416
puuA,b1297;ECK1292;JW5201,b1297,True,1163718,1165137
puuD,b1298;ECK1293;JW1291,b1298,True,1165348,1166113
puuR,b1299;ECK1294;JW1292,b1299,True,1166139,1166697
puuC,b1300;ECK1295;JW1293,b1300,True,1166971,1168459
puuB,b1301;ECK1296;JW1294,b1301,True,1168460,1169741
puuE,b1302;ECK1297;JW1295,b1302,True,1169778,1171044
pspF,b1303;ECK1298;JW1296,b1303,True,1171163,1172141
pspA,b1304;ECK1299;JW1297,b1304,True,1172307,1172976
pspB,b1305;ECK1300;JW1298,b1305,True,1173029,1173254
pspC,b1306;ECK1301;JW1299,b1306,True,1173253,1173613
pspD,b1307;ECK1302;JW1300,b1307,True,1173621,1173843
pspE,b1308;ECK1303;JW1301,b1308,True,1173917,1174232
ycjM,b1309;ECK1304;JW1302,b1309,True,1174444,1176124
ycjN,b1310;ECK1305;JW1303,b1310,True,1176137,1177430
ycjO,b1311;ECK1306;JW1304,b1311,True,1177450,1178332
ycjP,b1312;ECK1307;JW1305,b1312,True,1178318,1179161
ycjQ,b1313;ECK1308;JW1306,b1313,True,1179191,1180244
ycjR,b1314;ECK1309;JW5202,b1314,True,1180262,1181051
ycjS,b1315;ECK1310;JW1308,b1315,True,1181060,1182116
ycjT,b1316;ECK1311;JW1309,b1316,True,1182112,1184380
ycjU,b1317;ECK1312;JW1310,b1317,True,1184376,1185036
ycjV,b1318;ECK1313;JW1311,b1318,True,1185049,1186018
ymjB,b4524;ECK1314;JW5203,b4524,True,1186017,1186131
ompG,b1319;ECK1315;JW1312,b1319,True,1186175,1187081
ycjW,b1320;ECK1316;JW1313,b1320,True,1187191,1188190
ycjX,b1321;ECK1317;JW1314,b1321,True,1188345,1189743
ycjF,b1322;ECK1318;JW1315,b1322,True,1189739,1190801
tyrR,b1323;ECK1319;JW1316,b1323,True,1190948,1192490
tpx,b1324;ECK1320;JW1317,b1324,True,1192533,1193040
fnr,b1334;ECK1330;JW1328,b1334,True,1193268,1194021
ogt,b1335;ECK1331;JW1329,b1335,True,1194215,1194731
hrpA,b1413;ECK1406;JW5905,b1413,True,1195679,1199525
ydcF,b1414;ECK1407;JW1411,b1414,True,1199796,1200597
aldA,b1415;ECK1408;JW1412,b1415,True,1200793,1202233
gapC,b1416;ECK1409;JW1413,b1416,True,1202274,1202526
gapC,b4493;ECK1409;JW5906+JW1413,b4493,True,1202319,1203320
gapC,b1417;ECK1409;JW5906,b1417,True,1202522,1203275
cybB,b1418;ECK1410;JW5224,b1418,True,1203463,1203994
ydcA,b1419;ECK1411;JW1416,b1419,True,1204238,1204412
hokB,b4428;ECK1412;JW5225,b4428,True,1204483,1204633
mokB,b1420;ECK1413;JW5882,b1420,True,1204523,1204691
sokB,b4429;ECK1414;JWR0235,b4429,True,1204680,1204733
trg,b1421;ECK1415;JW1417,b1421,True,1205031,1206672
ydcI,b1422;ECK1416;JW5226,b1422,True,1206709,1207633
ydcJ,b1423;ECK1417;JW1419,b1423,True,1207849,1209193
mdoD,b1424;ECK1418;JW1420,b1424,True,1209447,1211073
ydcH,b1426;ECK1419;JW5823,b1426,True,1211212,1211437
rimL,b1427;ECK1420;JW1423,b1427,True,1211499,1212039
ydcK,b1428;ECK1421;JW1424,b1428,True,1212030,1213011
tehA,b1429;ECK1422;JW1425,b1429,True,1213134,1214127
tehB,b1430;ECK1423;JW1426,b1430,True,1214123,1214717
ydcL,b1431;ECK1424;JW1427,b1431,True,1215018,1215687
yncK,b4530;ECK1425;JW5227,b4530,True,1215704,1215872
yncK,b4578;ECK1425;JW5227+JW5961,b4578,True,1215749,1216256
yncK,b4531;ECK1425;JW5961,b4531,True,1215923,1216211
ydcM,b1432;ECK1426;JW5228,b1432,True,1216218,1217427
ydcO,b1433;ECK1427;JW5229,b1433,True,1217466,1218642
ydcN,b1434;ECK1428;JW1430,b1434,True,1218733,1219270
ydcP,b1435;ECK1429;JW1431,b1435,True,1219342,1221304
yncJ,b1436;ECK1430;JW1432,b1436,True,1221395,1221626
yncN,b4532;ECK1431;JW5230,b4532,True,1221847,1222024
ydcQ,b1438;ECK1432;JW1433,b1438,True,1222048,1222486
ydcR,b1439;ECK1433;JW1434,b1439,True,1222564,1223971
ydcS,b1440;ECK1434;JW1435,b1440,True,1224215,1225361
ydcT,b1441;ECK1435;JW1436,b1441,True,1225378,1226392
ydcU,b1442;ECK1436;JW1437,b1442,True,1226392,1227334
ydcV,b1443;ECK1437;JW1438,b1443,True,1227323,1228118
ydcW,b1444;ECK1438;JW1439,b1444,True,1228139,1229564
ydcX,b1445;ECK1439;JW5232,b1445,True,1229950,1230124
ydcY,b1446;ECK1440;JW1441,b1446,True,1230209,1230443
ydcZ,b1447;ECK1441;JW1442,b1447,True,1230443,1230893
yncA,b1448;ECK1442;JW5233,b1448,True,1230889,1231408
yncB,b1449;ECK1443;JW5907,b1449,True,1231588,1232626
yncC,b1450;ECK1444;JW1445,b1450,True,1232823,1233489
yncD,b1451;ECK1445;JW1446,b1451,True,1233524,1235627
yncE,b1452;ECK1446;JW1447,b1452,True,1235868,1236930
ansP,b1453;ECK1447;JW5234,b1453,True,1237042,1238542
yncG,b1454;ECK1448;JW1449,b1454,True,1238808,1239426
yncH,b1455;ECK1449;JW5235,b1455,True,1239501,1239714
nhoA,b1463;ECK1457;JW1458,b1463,True,1240850,1241696
yddE,b1464;ECK1458;JW1459,b1464,True,1241791,1242685
narV,b1465;ECK1459;JW1460,b1465,True,1242763,1243444
narW,b1466;ECK1460;JW1461,b1466,True,1243440,1244136
narY,b1467;ECK1461;JW1462,b1467,True,1244135,1245680
narZ,b1468;ECK1462;JW1463,b1468,True,1245676,1249417
narU,b1469;ECK1463;JW1464,b1469,True,1249498,1250887
yddJ,b1470;ECK1464;JW1466,b1470,True,1251210,1251546
yddK,b1471;ECK1465;JW1467,b1471,True,1251584,1252541
yddL,b1472;ECK1466;JW1468,b1472,True,1252564,1252855
yddG,b1473;ECK1467;JW1469,b1473,True,1253114,1253939
fdnG,b1474;ECK1468;JW1470,b1474,True,1254227,1257275
fdnH,b1475;ECK1469;JW1471,b1475,True,1257287,1258172
fdnI,b1476;ECK1470;JW1472,b1476,True,1258164,1258818
yddM,b1477;ECK1471;JW5908,b1477,True,1259224,1259587
adhP,b1478;ECK1472;JW1474,b1478,True,1259654,1260665
sfcA,b1479;ECK1473;JW5238,b1479,True,1260798,1262496
sra,b1480;ECK1474;JW5962,b1480,True,1262652,1262790
bdm,b1481;ECK1475;JW5239,b1481,True,1262891,1263107
osmC,b1482;ECK1476;JW1477,b1482,True,1263451,1263883
ddpF,b1483;ECK1477;JW1478,b1483,True,1263938,1264865
ddpD,b1484;ECK1478;JW1479,b1484,True,1264857,1265844
ddpC,b1485;ECK1479;JW1480,b1485,True,1265840,1266737
ddpB,b1486;ECK1480;JW1481,b1486,True,1266733,1267756
ddpA,b1487;ECK1481;JW5240,b1487,True,1267757,1269308
ddpX,b1488;ECK1482;JW1483,b1488,True,1269321,1269903
dos,b1489;ECK1483;JW1484,b1489,True,1270160,1272560
yddV,b1490;ECK1484;JW5241,b1490,True,1272584,1273628
yddW,b1491;ECK1485;JW1486,b1491,True,1274330,1275650
gadC,b1492;ECK1486;JW1487,b1492,True,1275780,1277316
gadB,b1493;ECK1487;JW1488,b1493,True,1277471,1278872
pqqL,b1494;ECK1488;JW1489,b1494,True,1279233,1282029
yddB,b1495;ECK1489;JW1490,b1495,True,1282073,1284446
yddA,b1496;ECK1490;JW5242,b1496,True,1284483,1286169
ydeM,b1497;ECK1491;JW1492,b1497,True,1286459,1287617
ydeN,b1498;ECK1492;JW5243,b1498,True,1287668,1289351
ydeO,b1499;ECK1493;JW1494,b1499,True,1289752,1290514
ydeP,b1501;ECK1494;JW1495,b1501,True,1291033,1293313
ydeQ,b1502;ECK1495;JW1496,b1502,True,1293646,1294561
ydeR,b1503;ECK1496;JW1497,b1503,True,1294619,1295123
ydeS,b1504;ECK1497;JW1498,b1504,True,1295135,1295666
ydeT,b1505;ECK1498;JW1499,b1505,True,1295679,1296828
yneL,b1506;ECK1499;JW5244,b1506,True,1297183,1297363
hipA,b1507;ECK1500;JW1500,b1507,True,1297680,1299003
hipB,b1508;ECK1501;JW1501,b1508,True,1299002,1299269
ydeU,b1509;ECK1502;JW1502,b1509,True,1299491,1300892
ydeK,b1510;ECK1503;JW1503,b1510,True,1300935,1304913
ydeV,b1511;ECK1504;JW1504,b1511,True,1305443,1307036
ydeW,b1512;ECK1505;JW1505,b1512,True,1307114,1308068
ego,b1513;ECK1506;JW1506,b1513,True,1308316,1309852
lsrC,b1514;ECK1507;JW1507,b1514,True,1309845,1310874
lsrD,b1515;ECK1508;JW1508,b1515,True,1310873,1311866
lsrB,b1516;ECK1509;JW1509,b1516,True,1311877,1312900
lsrF,b1517;ECK1510;JW1510,b1517,True,1312926,1313802
lsrG,b1518;ECK1511;JW1511,b1518,True,1313825,1314116
tam,b1519;ECK1512;JW1512,b1519,True,1314172,1314931
yneE,b1520;ECK1513;JW5245,b1520,True,1314934,1315849
uxaB,b1521;ECK1514;JW1514,b1521,True,1316055,1317507
yneF,b1522;ECK1515;JW5825,b1522,True,1317733,1318681
yneG,b1523;ECK1516;JW1516,b1523,True,1318792,1319152
yneH,b1524;ECK1517;JW1517,b1524,True,1319151,1320078
yneI,b1525;ECK1518;JW5247,b1525,True,1320141,1321530
yneJ,b1526;ECK1519;JW1519,b1526,True,1321630,1322512
yneK,b1527;ECK1520;JW1520,b1527,True,1322589,1323705
ydeA,b1528;ECK1521;JW1521,b1528,True,1323854,1325045
marC,b1529;ECK1522;JW1522,b1529,True,1325069,1325735
marR,b1530;ECK1523;JW5248,b1530,True,1325946,1326381
marA,b1531;ECK1524;JW5249,b1531,True,1326400,1326784
marB,b1532;ECK1525;JW1525,b1532,True,1326815,1327034
eamA,b1533;ECK1526;JW5250,b1533,True,1327064,1327964
ydeE,b1534;ECK1527;JW1527,b1534,True,1328158,1329346
ydeH,b1535;ECK1528;JW1528,b1535,True,1329786,1330677
ydeI,b1536;ECK1529;JW1529,b1536,True,1330931,1331324
ydeJ,b1537;ECK1530;JW1530,b1537,True,1331599,1332118
dcp,b1538;ECK1531;JW1531,b1538,True,1332161,1334207
rspB,b1580;ECK1575;JW1572,b1580,True,1334478,1335498
rspA,b1581;ECK1576;JW1573,b1581,True,1335509,1336724
ynfA,b1582;ECK1577;JW1574,b1582,True,1336929,1337256
ynfB,b1583;ECK1578;JW1575,b1583,True,1337390,1337732
speG,b1584;ECK1579;JW1576,b1584,True,1337766,1338327
ynfC,b1585;ECK1580;JW5258,b1585,True,1338329,1339040
ynfD,b1586;ECK1581;JW5259,b1586,True,1339147,1339453
ynfE,b1587;ECK1582;JW1579,b1587,True,1339651,1342078
ynfF,b1588;ECK1583;JW5260,b1588,True,1342138,1344562
ynfG,b1589;ECK1584;JW1581,b1589,True,1344572,1345190
ynfH,b1590;ECK1585;JW5261,b1590,True,1345191,1346046
dmsD,b1591;ECK1586;JW5262,b1591,True,1346088,1346703
clcB,b1592;ECK1587;JW5263,b1592,True,1346897,1348154
ynfK,b1593;ECK1588;JW5264,b1593,True,1348106,1348802
dgsA,b1594;ECK1589;JW1586,b1594,True,1348926,1350147
ynfL,b1595;ECK1590;JW1587,b1595,True,1350281,1351175
ynfM,b1596;ECK1591;JW1588,b1596,True,1351281,1352535
asr,b1597;ECK1592;JW5826,b1597,True,1352958,1353267
ydgD,b1598;ECK1593;JW1590,b1598,True,1353542,1354364
mdtI,b1599;ECK1594;JW1591,b1599,True,1354402,1354732
mdtJ,b1600;ECK1595;JW1592,b1600,True,1354718,1355084
ydgG,b1601;ECK1596;JW1593,b1601,True,1355495,1356530
pntB,b1602;ECK1597;JW1594,b1602,True,1356554,1357943
pntA,b1603;ECK1598;JW1595,b1603,True,1357953,1359486
ydgH,b1604;ECK1599;JW1596,b1604,True,1360009,1360954
ydgI,b1605;ECK1600;JW1597,b1605,True,1361139,1362522
folM,b1606;ECK1601;JW1598,b1606,True,1362558,1363281
ydgC,b1607;ECK1602;JW1599,b1607,True,1363277,1363613
rstA,b1608;ECK1603;JW1600,b1608,True,1363732,1364461
rstB,b1609;ECK1604;JW1601,b1609,True,1364464,1365766
tus,b1610;ECK1605;JW1602,b1610,True,1365841,1366771
fumC,b1611;ECK1606;JW1603,b1611,True,1366767,1368171
fumA,b1612;ECK1607;JW1604,b1612,True,1368313,1369960
manA,b1613;ECK1608;JW1605,b1613,True,1370158,1371334
ydgA,b1614;ECK1609;JW1606,b1614,True,1371434,1372943
uidC,b1615;ECK1610;JW1607,b1615,True,1373168,1374434
uidB,b1616;ECK1611;JW1608,b1616,True,1374472,1375846
uidA,b1617;ECK1612;JW1609,b1617,True,1375842,1377654
uidR,b1618;ECK1613;JW1610,b1618,True,1378044,1378635
hdhA,b1619;ECK1614;JW1611,b1619,True,1378855,1379623
malI,b1620;ECK1615;JW1612,b1620,True,1379734,1380763
malX,b1621;ECK1616;JW1613,b1621,True,1380937,1382530
malY,b1622;ECK1617;JW1614,b1622,True,1382539,1383712
add,b1623;ECK1618;JW1615,b1623,True,1383815,1384817
ydgJ,b1624;ECK1619;JW5265,b1624,True,1384850,1385891
blr,b4409;ECK1620;JW5963,b4409,True,1386133,1386259
ydgT,b1625;ECK1621;JW1617,b1625,True,1386531,1386747
ydgK,b1626;ECK1622;JW1618,b1626,True,1386832,1387273
rsxA,b1627;ECK1623;JW1619,b1627,True,1387349,1387931
rsxB,b1628;ECK1624;JW1620,b1628,True,1387930,1388509
rsxC,b1629;ECK1625;JW1621,b1629,True,1388501,1390724
rsxD,b1630;ECK1626;JW1622,b1630,True,1390724,1391783
rsxG,b1631;ECK1627;JW1623,b1631,True,1391786,1392407
rsxE,b1632;ECK1628;JW1624,b1632,True,1392410,1393106
nth,b1633;ECK1629;JW1625,b1633,True,1393105,1393741
ydgR,b1634;ECK1630;JW1626,b1634,True,1394351,1395854
gst,b1635;ECK1631;JW1627,b1635,True,1395959,1396565
pdxY,b1636;ECK1632;JW1628,b1636,True,1396608,1397472
tyrS,b1637;ECK1633;JW1629,b1637,True,1397530,1398805
pdxH,b1638;ECK1634;JW1630,b1638,True,1398933,1399590
ydhA,b1639;ECK1635;JW1631,b1639,True,1399648,1399978
ydhH,b1640;ECK1636;JW1632,b1640,True,1400075,1401185
slyB,b1641;ECK1637;JW1633,b1641,True,1401458,1401926
slyA,b1642;ECK1638;JW5267,b1642,True,1401972,1402407
ydhI,b1643;ECK1639;JW1635,b1643,True,1402607,1402844
ydhJ,b1644;ECK1640;JW1636,b1644,True,1402846,1403704
ydhK,b1645;ECK1641;JW1637,b1645,True,1403703,1405716
sodC,b1646;ECK1642;JW1638,b1646,True,1405716,1406238
ydhF,b1647;ECK1643;JW1639,b1647,True,1406318,1407215
ydhL,b1648;ECK1644;JW5827,b1648,True,1407263,1407503
ydhM,b1649;ECK1645;JW5874,b1649,True,1407689,1408205
nemA,b1650;ECK1646;JW1642,b1650,True,1408241,1409339
gloA,b1651;ECK1647;JW1643,b1651,True,1409419,1409827
rnt,b1652;ECK1648;JW1644,b1652,True,1409929,1410577
lhr,b1653;ECK1649;JW1645,b1653,True,1410669,1415286
ydhD,b1654;ECK1650;JW1646,b1654,True,1415336,1415684
ydhO,b1655;ECK1651;JW5270,b1655,True,1416017,1416833
sodB,b1656;ECK1652;JW1648,b1656,True,1416960,1417542
ydhP,b1657;ECK1653;JW1649,b1657,True,1417703,1418873
purR,b1658;ECK1654;JW1650,b1658,True,1419426,1420452
ydhB,b1659;ECK1655;JW1651,b1659,True,1420448,1421381
ydhC,b1660;ECK1656;JW1652,b1660,True,1421493,1422705
cfa,b1661;ECK1657;JW1653,b1661,True,1422995,1424144
ribC,b1662;ECK1658;JW1654,b1662,True,1424183,1424825
mdtK,b1663;ECK1659;JW1655,b1663,True,1425039,1426413
ydhQ,b1664;ECK1660;JW1656,b1664,True,1426453,1427710
valV,b1665;ECK1661;JWR0031,b1665,True,1428017,1428094
valW,b1666;ECK1662;JWR0032,b1666,True,1428098,1428175
ydhR,b1667;ECK1663;JW1657,b1667,True,1428282,1428588
ydhS,b1668;ECK1664;JW1658,b1668,True,1428713,1430318
ydhT,b1669;ECK1665;JW1659,b1669,True,1430329,1431142
ydhU,b1670;ECK1666;JW1660,b1670,True,1431145,1431931
ydhX,b1671;ECK1667;JW5271,b1671,True,1431927,1432596
ydhW,b1672;ECK1668;JW1662,b1672,True,1432659,1433307
ydhV,b1673;ECK1669;JW5272,b1673,True,1433310,1435413
ydhY,b1674;ECK1670;JW1664,b1674,True,1435433,1436060
ydhZ,b1675;ECK1671;JW1665,b1675,True,1436514,1436724
pykF,b1676;ECK1672;JW1666,b1676,True,1437280,1438693
lpp,b1677;ECK1673;JW1667,b1677,True,1439003,1439240
ynhG,b1678;ECK1674;JW1668,b1678,True,1439303,1440308
sufE,b1679;ECK1675;JW1669,b1679,True,1440456,1440873
sufS,b1680;ECK1676;JW1670,b1680,True,1440885,1442106
sufD,b1681;ECK1677;JW1671,b1681,True,1442102,1443374
sufC,b1682;ECK1678;JW1672,b1682,True,1443348,1444095
sufB,b1683;ECK1679;JW5273,b1683,True,1444104,1445592
