gene,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,line,gen_id,duplicated
folK,100.0,479,0,0,1,479,779479,779957,0.0,885,479,L02-2,2,False
accB,100.0,470,0,0,1,470,3524735,3525204,0.0,869,470,L02-2,2,False
ribE,100.0,470,0,0,1,470,969842,970311,0.0,869,470,L02-2,2,False
yjeE,100.0,461,0,0,1,461,469731,470191,0.0,852,461,L02-2,2,False
fabZ,100.0,455,0,0,1,455,818414,818868,0.0,841,455,L02-2,2,False
dut,100.0,455,0,0,1,455,3924859,3925313,0.0,841,455,L02-2,2,False
rplO,100.0,434,0,0,1,434,3563404,3563837,0.0,802,434,L02-2,2,False
rplM,100.0,428,0,0,1,428,3494420,3494847,0.0,791,428,L02-2,2,False
nusB,100.0,419,0,0,1,419,970332,970750,0.0,774,419,L02-2,2,False
yqgF,100.0,416,0,0,1,416,3244692,3245107,0.0,769,416,L02-2,2,False
rplP,100.0,410,0,0,1,410,3568058,3568467,0.0,758,410,L02-2,2,False
rpsI,100.0,392,0,0,1,392,3494012,3494403,0.0,725,392,L02-2,2,False
rpsH,100.0,392,0,0,1,392,3565452,3565843,0.0,725,392,L02-2,2,False
rpsK,100.0,389,0,0,1,389,3561008,3561396,0.0,719,389,L02-2,2,False
rplQ,100.0,383,0,0,1,383,3558915,3559297,0.0,708,383,L02-2,2,False
secE,100.0,383,0,0,1,383,251615,251997,0.0,708,383,L02-2,2,False
acpS,100.0,380,0,0,1,380,2904825,2905204,0.0,702,380,L02-2,2,False
rnpB,100.0,376,0,0,1,376,3391894,3392269,0.0,695,376,L02-2,2,False
rpsL,100.0,374,0,0,1,374,3577551,3577924,0.0,691,374,L02-2,2,False
rplN,100.0,371,0,0,1,371,3567077,3567447,0.0,686,371,L02-2,2,False
folB,100.0,368,0,0,1,368,3322797,3323164,0.0,680,368,L02-2,2,False
ftsL,100.0,365,0,0,1,365,710156,710520,0.0,675,365,L02-2,2,False
rplL,100.0,365,0,0,1,365,254817,255181,0.0,675,365,L02-2,2,False
rnpA,100.0,359,0,0,1,359,3995338,3995696,0.0,664,359,L02-2,2,False
rpsM,100.0,356,0,0,1,356,3561414,3561769,0.0,658,356,L02-2,2,False
rplT,100.0,356,0,0,1,356,2128169,2128524,0.0,658,356,L02-2,2,False
rplR,100.0,353,0,0,1,353,3564543,3564895,0.0,652,353,L02-2,2,False
rplS,100.0,347,0,0,1,347,2951492,2951838,0.0,641,347,L02-2,2,False
yadR,100.0,344,0,0,1,344,792923,793266,0.0,636,344,L02-2,2,False
rplV,100.0,332,0,0,1,332,3569200,3569531,1.6e-176,614,332,L02-2,2,False
yceQ,100.0,320,0,0,1,320,1616863,1617182,7.21e-170,592,320,L02-2,2,False
rplX,100.0,314,0,0,1,314,3566752,3567065,1.5300000000000002e-166,580,314,L02-2,2,False
ftsB,100.0,311,0,0,1,311,3044726,3045036,7.039999999999999e-165,575,311,L02-2,2,False
rplU,100.0,311,0,0,1,311,3454818,3455128,7.039999999999999e-165,575,311,L02-2,2,False
rpsJ,100.0,311,0,0,1,311,3572258,3572568,7.039999999999999e-165,575,311,L02-2,2,False
rpsN,100.0,305,0,0,1,305,3565878,3566182,1.4900000000000001e-161,564,305,L02-2,2,False
rplW,100.0,302,0,0,1,302,3570681,3570982,6.87e-160,558,302,L02-2,2,False
groS,100.0,293,0,0,1,293,444834,445126,6.7e-155,542,293,L02-2,2,False
rpsS,100.0,278,0,0,1,278,3569547,3569824,1.38e-146,514,278,L02-2,2,False
rpmA,100.0,257,0,0,1,257,3454540,3454796,5.98e-135,475,257,L02-2,2,False
rpsQ,100.0,254,0,0,1,254,3567613,3567866,2.7500000000000003e-133,470,254,L02-2,2,False
rpsP,100.0,248,0,0,1,248,2953246,2953493,5.79e-130,459,248,L02-2,2,False
acpP,100.0,236,0,0,1,236,1623976,1624211,2.5700000000000003e-123,436,236,L02-2,2,False
rpmB,100.0,236,0,0,1,236,3922365,3922600,2.5700000000000003e-123,436,236,L02-2,2,False
rpsR,100.0,227,0,0,1,227,499985,500211,2.4800000000000003e-118,420,227,L02-2,2,False
infA,100.0,218,0,0,1,218,1426845,1427062,2.39e-113,403,218,L02-2,2,False
rpmC,100.0,191,0,0,1,191,3567867,3568057,2.12e-98,353,191,L02-2,2,False
csrA,100.0,185,0,0,1,185,2991178,2991362,4.42e-95,342,185,L02-2,2,False
rpmD,100.0,179,0,0,1,179,3563842,3564020,9.22e-92,331,179,L02-2,2,False
rpmH,100.0,140,0,0,1,140,3995181,3995320,3.3300000000000005e-70,259,140,L02-2,2,False
ffs,100.0,113,0,0,1,113,1011643,1011755,2.64e-55,209,113,L02-2,2,False
serV,100.0,92,0,0,1,92,2990770,2990861,9.77e-44,171,92,L02-2,2,False
serT,100.0,87,0,0,1,87,1535347,1535433,5.48e-41,161,87,L02-2,2,False
leuZ,100.0,86,0,0,1,86,2302390,2302475,1.94e-40,159,86,L02-2,2,False
leuU,100.0,86,0,0,1,86,3443750,3443835,1.94e-40,159,86,L02-2,2,False
leuW,100.0,84,0,0,1,84,1199848,1199931,2.44e-39,156,84,L02-2,2,False
proM,100.0,76,0,0,1,76,56992,57067,5.98e-35,141,76,L02-2,2,False
argX,100.0,76,0,0,1,76,56632,56707,5.98e-35,141,76,L02-2,2,False
argU,100.0,76,0,0,1,76,1095732,1095807,5.98e-35,141,76,L02-2,2,False
hisR,100.0,76,0,0,1,76,56766,56841,5.98e-35,141,76,L02-2,2,False
trpT,100.0,75,0,0,1,75,21214,21288,2.11e-34,139,75,L02-2,2,False
thrU,100.0,75,0,0,1,75,249645,249719,2.11e-34,139,75,L02-2,2,False
glyT,100.0,74,0,0,1,74,249930,250003,7.4599999999999995e-34,137,74,L02-2,2,False
cysT,100.0,73,0,0,1,73,2302489,2302561,2.6400000000000002e-33,135,73,L02-2,2,False
mukB,100.0,4460,0,0,1,4460,1476838,1481297,0.0,8237,4460,L02-2,3,False
rpoC,100.0,4223,0,0,1,4223,259589,263811,0.0,7799,4223,L02-2,3,False
rpoB,100.0,4028,0,0,1,4028,255484,259511,0.0,7439,4028,L02-2,3,False
ftsK,100.0,3989,0,0,1,3989,1433736,1437724,0.0,7367,3989,L02-2,3,False
dnaE,100.0,3482,0,0,1,3482,821366,824847,0.0,6431,3482,L02-2,3,False
rne,99.969,3185,0,1,1,3185,1613420,1616603,0.0,5875,3185,L02-2,3,False
valS,100.0,2855,0,0,1,2855,558139,560993,0.0,5273,2855,L02-2,3,False
ileS,100.0,2816,0,0,1,2816,641453,644268,0.0,5201,2816,L02-2,3,False
polA,100.0,2786,0,0,1,2786,121211,123996,0.0,5145,2786,L02-2,3,False
secA,100.0,2705,0,0,1,2705,727335,730039,0.0,4996,2705,L02-2,3,False
infB,100.0,2672,0,0,1,2672,3704872,3702201,0.0,4935,2672,L02-2,3,False
alaS,99.962,2630,0,1,1,2630,4147567,4144939,0.0,4850,2630,L02-2,3,False
gyrA,100.0,2627,0,0,1,2627,2945497,2948123,0.0,4852,2627,L02-2,3,True
gyrA,100.0,2627,0,0,1,2627,2310556,2313182,0.0,4852,2627,L02-2,3,True
topA,100.0,2597,0,0,1,2597,1779232,1781828,0.0,4796,2597,L02-2,3,False
leuS,100.0,2582,0,0,1,2582,1176179,1178760,0.0,4769,2582,L02-2,3,False
yaeT,100.0,2432,0,0,1,2432,814168,816599,0.0,4492,2432,L02-2,3,False
plsB,100.0,2423,0,0,1,2423,328275,330697,0.0,4475,2423,L02-2,3,False
gyrB,100.0,2414,0,0,1,2414,4345715,4348128,0.0,4458,2414,L02-2,3,False
pheT,100.0,2387,0,0,1,2387,2124162,2126548,0.0,4409,2387,L02-2,3,False
imp,100.0,2354,0,0,1,2354,673816,676169,0.0,4348,2354,L02-2,3,False
nrdA,100.0,2285,0,0,1,2285,2953569,2955853,0.0,4220,2285,L02-2,3,True
nrdA,100.0,2285,0,0,1,2285,2318628,2320912,0.0,4220,2285,L02-2,3,True
parC,100.0,2258,0,0,1,2258,3849988,3847731,0.0,4170,2258,L02-2,3,False
priA,100.0,2198,0,0,1,2198,198853,201050,0.0,4060,2198,L02-2,3,False
yrfF,100.0,2135,0,0,1,2135,3510066,3507932,0.0,3943,2135,L02-2,3,False
fusA,100.0,2114,0,0,1,2114,3565133,3563020,0.0,3904,2114,L02-2,3,False
spoT,100.0,2108,0,0,1,2108,4290415,4292522,0.0,3893,2108,L02-2,3,False
glyS,100.0,2069,0,0,1,2069,3336525,3334457,0.0,3821,2069,L02-2,3,False
metG,100.0,2033,0,0,1,2033,2800589,2802621,0.0,3755,2033,L02-2,3,False
ligA,99.95,2015,0,1,1,2015,2487032,2489045,0.0,3714,2015,L02-2,3,True
ligA,99.95,2015,0,1,1,2015,3121973,3123986,0.0,3714,2015,L02-2,3,True
ftsH,100.0,1934,0,0,1,1934,3693213,3691280,0.0,3572,1934,L02-2,3,False
dnaX,99.948,1931,0,1,1,1931,1030305,1032234,0.0,3559,1931,L02-2,3,False
thrS,100.0,1928,0,0,1,1928,2129247,2131174,0.0,3561,1928,L02-2,3,False
mrdA,100.0,1901,0,0,1,1901,1170295,1172195,0.0,3511,1901,L02-2,3,False
parE,100.0,1892,0,0,1,1892,3840199,3838308,0.0,3494,1892,L02-2,3,False
dxs,100.0,1862,0,0,1,1862,973427,975288,0.0,3439,1862,L02-2,3,False
secD,100.0,1847,0,0,1,1847,962761,964607,0.0,3411,1847,L02-2,3,False
rpoD,100.0,1841,0,0,1,1841,3807575,3805735,0.0,3400,1841,L02-2,3,False
glmS,100.0,1829,0,0,1,1829,4382202,4384030,0.0,3378,1829,L02-2,3,False
aspS,100.0,1772,0,0,1,1772,2660588,2662359,0.0,3273,1772,L02-2,3,False
ftsI,99.943,1766,0,1,1,1766,710471,712235,0.0,3254,1766,L02-2,3,False
yejM,100.0,1760,0,0,1,1760,2261922,2263681,0.0,3251,1760,L02-2,3,True
yejM,100.0,1760,0,0,1,1760,2896863,2898622,0.0,3251,1760,L02-2,3,True
msbA,100.0,1748,0,0,1,1748,1467133,1468880,0.0,3229,1748,L02-2,3,False
dnaG,100.0,1745,0,0,1,1745,3809515,3807771,0.0,3223,1745,L02-2,3,False
argS,100.0,1733,0,0,1,1733,2671899,2673631,0.0,3201,1733,L02-2,3,False
proS,100.0,1718,0,0,1,1718,833296,835013,0.0,3173,1718,L02-2,3,False
rpsA,100.0,1673,0,0,1,1673,1462507,1464179,0.0,3090,1673,L02-2,3,False
glnS,100.0,1664,0,0,1,1664,1208884,1210547,0.0,3073,1664,L02-2,3,False
groL,100.0,1646,0,0,1,1646,445136,446781,0.0,3040,1646,L02-2,3,False
yidC,100.0,1646,0,0,1,1646,4353086,4354731,0.0,3040,1646,L02-2,3,False
pyrG,100.0,1637,0,0,1,1637,4075367,4073731,0.0,3024,1637,L02-2,3,False
lnt,100.0,1538,0,0,1,1538,1192136,1193673,0.0,2841,1538,L02-2,3,False
mviN,100.0,1535,0,0,1,1535,1611668,1613202,0.0,2835,1535,L02-2,3,False
ftsY,99.866,1493,0,2,1,1493,3414389,3415879,0.0,2745,1493,L02-2,3,False
nusA,100.0,1487,0,0,1,1487,3702175,3700689,0.0,2747,1487,L02-2,3,False
murE,100.0,1487,0,0,1,1487,712223,713709,0.0,2747,1487,L02-2,3,False
murC,100.0,1475,0,0,1,1475,719822,721296,0.0,2724,1475,L02-2,3,False
der,100.0,1472,0,0,1,1472,3225995,3227466,0.0,2719,1472,L02-2,3,False
gltX,100.0,1415,0,0,1,1415,2478128,2479542,0.0,2614,1415,L02-2,3,True
gltX,100.0,1415,0,0,1,1415,3113069,3114483,0.0,2614,1415,L02-2,3,True
dnaB,100.0,1415,0,0,1,1415,338546,339960,0.0,2614,1415,L02-2,3,False
dnaA,100.0,1403,0,0,1,1403,4350336,4351738,0.0,2591,1403,L02-2,3,False
asnS,100.0,1400,0,0,1,1400,1488096,1489495,0.0,2586,1400,L02-2,3,False
cysS,100.0,1385,0,0,1,1385,1085532,1086916,0.0,2558,1385,L02-2,3,False
glmU,100.0,1370,0,0,1,1370,4384193,4385562,0.0,2531,1370,L02-2,3,False
ffh,100.0,1361,0,0,1,1361,4185419,4184059,0.0,2514,1361,L02-2,3,False
murF,100.0,1358,0,0,1,1358,713707,715064,0.0,2508,1358,L02-2,3,False
pssA,100.0,1355,0,0,1,1355,3312835,3314189,0.0,2503,1355,L02-2,3,False
yaeL,100.0,1352,0,0,1,1352,812786,814137,0.0,2497,1352,L02-2,3,False
accC,100.0,1349,0,0,1,1349,3614686,3613338,0.0,2492,1349,L02-2,3,False
glmM,100.0,1337,0,0,1,1337,3695481,3694145,0.0,2470,1337,L02-2,3,False
secY,100.0,1331,0,0,1,1331,3577841,3576511,0.0,2459,1331,L02-2,3,False
mukF,100.0,1322,0,0,1,1322,1474831,1476152,0.0,2442,1322,L02-2,3,False
murD,100.0,1316,0,0,1,1316,716144,717459,0.0,2431,1316,L02-2,3,False
tilS,100.0,1298,0,0,1,1298,828571,829868,0.0,2398,1298,L02-2,3,False
eno,100.0,1298,0,0,1,1298,4076753,4075456,0.0,2398,1298,L02-2,3,False
serS,100.0,1292,0,0,1,1292,1439940,1441231,0.0,2386,1292,L02-2,3,False
hemL,100.0,1280,0,0,1,1280,789844,791123,0.0,2364,1280,L02-2,3,False
kdtA,100.0,1277,0,0,1,1277,4276638,4277914,0.0,2359,1277,L02-2,3,False
hisS,100.0,1274,0,0,1,1274,3229412,3230685,0.0,2353,1274,L02-2,3,False
tyrS,100.0,1274,0,0,1,1274,2044560,2045833,0.0,2353,1274,L02-2,3,False
folC,100.0,1268,0,0,1,1268,3040372,3041639,0.0,2342,1268,L02-2,3,True
folC,100.0,1268,0,0,1,1268,2405431,2406698,0.0,2342,1268,L02-2,3,True
ftsA,100.0,1262,0,0,1,1262,723039,724300,0.0,2331,1262,L02-2,3,False
murA,100.0,1259,0,0,1,1259,3682981,3681723,0.0,2326,1259,L02-2,3,False
rho,100.0,1259,0,0,1,1259,40669,41927,0.0,2326,1259,L02-2,3,False
hemA,100.0,1256,0,0,1,1256,1713099,1714354,0.0,2320,1256,L02-2,3,False
lolE,100.0,1244,0,0,1,1244,1649553,1650796,0.0,2298,1244,L02-2,3,False
ftsW,100.0,1244,0,0,1,1244,717460,718703,0.0,2298,1244,L02-2,3,False
cca,100.0,1238,0,0,1,1238,3818731,3817494,0.0,2287,1238,L02-2,3,False
fabB,100.0,1220,0,0,1,1220,3049083,3050302,0.0,2254,1220,L02-2,3,True
fabB,100.0,1220,0,0,1,1220,2414142,2415361,0.0,2254,1220,L02-2,3,True
dfp,99.918,1220,0,1,1,1220,4280829,4282047,0.0,2246,1220,L02-2,3,False
lolC,100.0,1199,0,0,1,1199,1647660,1648858,0.0,2215,1199,L02-2,3,False
dxr,100.0,1196,0,0,1,1196,809762,810957,0.0,2209,1196,L02-2,3,False
obgE,100.0,1172,0,0,1,1172,3687632,3686461,0.0,2165,1172,L02-2,3,False
pgk,100.0,1163,0,0,1,1163,3915830,3914668,0.0,2148,1163,L02-2,3,False
metK,100.0,1154,0,0,1,1154,3900584,3899431,0.0,2132,1154,L02-2,3,False
ftsZ,100.0,1151,0,0,1,1151,724362,725512,0.0,2126,1151,L02-2,3,False
lpxB,100.0,1148,0,0,1,1148,819588,820735,0.0,2121,1148,L02-2,3,False
nrdB,100.0,1130,0,0,1,1130,2321147,2322276,0.0,2087,1130,L02-2,3,True
nrdB,100.0,1130,0,0,1,1130,2956088,2957217,0.0,2087,1130,L02-2,3,True
dapE,100.0,1127,0,0,1,1127,2543682,2544808,0.0,2082,1127,L02-2,3,True
dapE,100.0,1127,0,0,1,1127,3178623,3179749,0.0,2082,1127,L02-2,3,True
ispG,100.0,1118,0,0,1,1118,3230797,3231914,0.0,2065,1118,L02-2,3,False
mrdB,100.0,1112,0,0,1,1112,1169180,1170291,0.0,2054,1112,L02-2,3,False
trmU,100.0,1106,0,0,1,1106,1664899,1666004,0.0,2043,1106,L02-2,3,False
mreC,100.0,1103,0,0,1,1103,3621728,3620626,0.0,2037,1103,L02-2,3,False
ribD,100.0,1103,0,0,1,1103,968568,969670,0.0,2037,1103,L02-2,3,False
asd,100.0,1103,0,0,1,1103,3462760,3461658,0.0,2037,1103,L02-2,3,False
yjgP,100.0,1100,0,0,1,1100,563375,564474,0.0,2032,1100,L02-2,3,False
dnaN,100.0,1100,0,0,1,1100,4349231,4350330,0.0,2032,1100,L02-2,3,False
prfB,100.0,1098,0,0,1,1098,3952104,3951007,0.0,2028,1098,L02-2,3,False
yjgQ,100.0,1082,0,0,1,1082,564475,565556,0.0,1999,1082,L02-2,3,False
mraY,100.0,1082,0,0,1,1082,715059,716140,0.0,1999,1082,L02-2,3,False
prfA,100.0,1082,0,0,1,1082,1714397,1715478,0.0,1999,1082,L02-2,3,False
fbaA,100.0,1079,0,0,1,1079,3917124,3916046,0.0,1993,1079,L02-2,3,False
murG,100.0,1067,0,0,1,1067,718701,719767,0.0,1971,1067,L02-2,3,False
degS,100.0,1067,0,0,1,1067,3638402,3637336,0.0,1971,1067,L02-2,3,False
ftsX,100.0,1058,0,0,1,1058,3412667,3413724,0.0,1954,1058,L02-2,3,False
rsgA,100.0,1052,0,0,1,1052,464564,465615,0.0,1943,1052,L02-2,3,False
mreB,100.0,1043,0,0,1,1043,3620559,3619517,0.0,1927,1043,L02-2,3,False
holA,100.0,1031,0,0,1,1031,1174552,1175582,0.0,1905,1031,L02-2,3,False
murB,100.0,1028,0,0,1,1028,246296,247323,0.0,1899,1028,L02-2,3,False
lpxD,100.0,1025,0,0,1,1025,817211,818235,0.0,1893,1025,L02-2,3,False
gpsA,100.0,1019,0,0,1,1019,4211380,4210362,0.0,1882,1019,L02-2,3,False
ygjD,100.0,1013,0,0,1,1013,3811092,3810080,0.0,1871,1013,L02-2,3,False
trpS,100.0,1004,0,0,1,1004,3523901,3522898,0.0,1855,1004,L02-2,3,False
holB,100.0,1004,0,0,1,1004,1627998,1629001,0.0,1855,1004,L02-2,3,False
gapA,100.0,995,0,0,1,995,2191372,2192366,0.0,1838,995,L02-2,3,False
rpoA,100.0,989,0,0,1,989,3580567,3579579,0.0,1827,989,L02-2,3,False
zipA,100.0,986,0,0,1,986,3124058,3125043,0.0,1821,986,L02-2,3,True
zipA,100.0,986,0,0,1,986,2489117,2490102,0.0,1821,986,L02-2,3,True
lpxK,100.0,986,0,0,1,986,1468878,1469863,0.0,1821,986,L02-2,3,False
pheS,100.0,983,0,0,1,983,2126564,2127546,0.0,1816,983,L02-2,3,False
thiL,100.0,977,0,0,1,977,970746,971722,0.0,1805,977,L02-2,3,False
hemB,100.0,974,0,0,1,974,933776,934749,0.0,1799,974,L02-2,3,False
lepB,100.0,974,0,0,1,974,3294443,3295416,0.0,1799,974,L02-2,3,False
secF,100.0,971,0,0,1,971,964619,965589,0.0,1794,971,L02-2,3,False
ispB,100.0,971,0,0,1,971,3684506,3683536,0.0,1794,971,L02-2,3,False
psd,100.0,968,0,0,1,968,463500,464467,0.0,1788,968,L02-2,3,False
birA,100.0,965,0,0,1,965,247321,248285,0.0,1783,965,L02-2,3,False
hemH,100.0,962,0,0,1,962,1036267,1037228,0.0,1777,962,L02-2,3,False
ftsN,100.0,959,0,0,1,959,196621,197579,0.0,1772,959,L02-2,3,False
accA,100.0,959,0,0,1,959,824861,825819,0.0,1772,959,L02-2,3,False
coaA,100.0,950,0,0,1,950,248315,249264,0.0,1755,950,L02-2,3,False
ispH,100.0,950,0,0,1,950,645339,646288,0.0,1755,950,L02-2,3,False
fmt,100.0,947,0,0,1,947,3586393,3585447,0.0,1749,947,L02-2,3,False
prsA,100.0,947,0,0,1,947,1710313,1711259,0.0,1749,947,L02-2,3,False
ribF,100.0,941,0,0,1,941,640469,641409,0.0,1738,941,L02-2,3,False
hemC,100.0,941,0,0,1,941,64073,65013,0.0,1738,941,L02-2,3,False
fabD,100.0,929,0,0,1,929,1621965,1622893,0.0,1716,929,L02-2,3,False
lpxC,100.0,917,0,0,1,917,725614,726530,0.0,1694,917,L02-2,3,False
accD,100.0,914,0,0,1,914,2406769,2407682,0.0,1688,914,L02-2,3,True
accD,100.0,914,0,0,1,914,3041710,3042623,0.0,1688,914,L02-2,3,True
glyQ,100.0,911,0,0,1,911,3334446,3333536,0.0,1683,911,L02-2,3,False
era,100.0,905,0,0,1,905,3292589,3293493,0.0,1672,905,L02-2,3,False
ispA,100.0,899,0,0,1,899,975314,976212,0.0,1661,899,L02-2,3,False
dapA,100.0,878,0,0,1,878,2550957,2551834,0.0,1622,878,L02-2,3,True
dapA,100.0,878,0,0,1,878,3185898,3186775,0.0,1622,878,L02-2,3,True
uppS,100.0,878,0,0,1,878,4181022,4180145,0.0,1622,878,L02-2,3,False
lgt,100.0,875,0,0,1,875,4018240,4017366,0.0,1616,875,L02-2,3,False
ubiA,100.0,872,0,0,1,872,327248,328119,0.0,1611,872,L02-2,3,False
folD,100.0,866,0,0,1,866,1087796,1088661,0.0,1600,866,L02-2,3,False
cdsA,100.0,857,0,0,1,857,811917,812773,0.0,1583,857,L02-2,3,False
murI,100.0,857,0,0,1,857,239668,240524,0.0,1583,857,L02-2,3,False
kdsA,100.0,854,0,0,1,854,1717550,1718403,0.0,1578,854,L02-2,3,False
rpoH,100.0,854,0,0,1,854,3411568,3412421,0.0,1578,854,L02-2,3,False
tsf,100.0,851,0,0,1,851,807098,807948,0.0,1572,851,L02-2,3,False
ispE,100.0,851,0,0,1,851,1711411,1712261,0.0,1572,851,L02-2,3,False
prmC,100.0,833,0,0,1,833,1715479,1716311,0.0,1539,833,L02-2,3,False
ftsQ,100.0,830,0,0,1,830,722212,723041,0.0,1533,830,L02-2,3,False
nadE,100.0,827,0,0,1,827,2151061,2151887,0.0,1528,827,L02-2,3,False
dapD,100.0,824,0,0,1,824,801364,802187,0.0,1522,824,L02-2,3,False
dapB,100.0,821,0,0,1,821,647436,648256,0.0,1517,821,L02-2,3,False
rplB,100.0,821,0,0,1,821,3570064,3569244,0.0,1517,821,L02-2,3,False
suhB,100.0,803,0,0,1,803,3253552,3254354,0.0,1483,803,L02-2,3,False
map,100.0,794,0,0,1,794,804953,805746,0.0,1467,794,L02-2,3,False
fabI,100.0,788,0,0,1,788,1798433,1799220,0.0,1456,788,L02-2,3,False
lpxA,100.0,788,0,0,1,788,818800,819587,0.0,1456,788,L02-2,3,False
trmD,100.0,767,0,0,1,767,4187281,4186515,0.0,1417,767,L02-2,3,False
ispU,99.869,761,0,1,1,761,811144,811903,0.0,1399,761,L02-2,3,False
kdsB,100.0,746,0,0,1,746,1471364,1472109,0.0,1378,746,L02-2,3,False
hda,100.0,746,0,0,1,746,3205088,3205833,0.0,1378,746,L02-2,3,True
hda,100.0,746,0,0,1,746,2570147,2570892,0.0,1378,746,L02-2,3,True
hemD,100.0,740,0,0,1,740,63336,64075,0.0,1367,740,L02-2,3,False
plsC,100.0,737,0,0,1,737,3850959,3850223,0.0,1362,737,L02-2,3,False
yfiO,100.0,737,0,0,1,737,4195707,4194971,0.0,1362,737,L02-2,3,False
dnaC,100.0,737,0,0,1,737,582834,583570,0.0,1362,737,L02-2,3,False
fabG,100.0,734,0,0,1,734,1622907,1623640,0.0,1356,734,L02-2,3,False
pyrH,100.0,725,0,0,1,725,808096,808820,0.0,1339,725,L02-2,3,False
yhbG,100.0,725,0,0,1,725,3674273,3673549,0.0,1339,725,L02-2,3,False
rpsB,100.0,725,0,0,1,725,806115,806839,0.0,1339,725,L02-2,3,False
lpxH,99.861,722,0,1,1,722,1084140,1084860,0.0,1327,722,L02-2,3,False
ispD,99.859,710,0,1,1,710,4095173,4094465,0.0,1304,710,L02-2,3,False
rpsC,100.0,701,0,0,1,701,3571425,3570725,0.0,1295,701,L02-2,3,False
lolD,100.0,701,0,0,1,701,1648852,1649552,0.0,1295,701,L02-2,3,False
yeaZ,100.0,695,0,0,1,695,2602413,2603107,0.0,1284,695,L02-2,3,False
mukE,100.0,677,0,0,1,677,1476161,1476837,0.0,1251,677,L02-2,3,False
folE,100.0,668,0,0,1,668,2217430,2218097,0.0,1234,668,L02-2,3,True
folE,100.0,668,0,0,1,668,2852371,2853038,0.0,1234,668,L02-2,3,True
ftsE,100.0,668,0,0,1,668,3413718,3414385,0.0,1234,668,L02-2,3,False
can,100.0,662,0,0,1,662,761062,761723,0.0,1223,662,L02-2,3,False
ribB,100.0,653,0,0,1,653,3829890,3829238,0.0,1206,653,L02-2,3,False
adk,100.0,644,0,0,1,644,1035387,1036030,0.0,1190,644,L02-2,3,False
nadD,100.0,641,0,0,1,641,1173909,1174549,0.0,1184,641,L02-2,3,False
ribC,100.0,641,0,0,1,641,2071209,2071849,0.0,1184,641,L02-2,3,False
tmk,100.0,641,0,0,1,641,1627360,1628000,0.0,1184,641,L02-2,3,False
rplC,100.0,629,0,0,1,629,3568310,3567682,0.0,1162,629,L02-2,3,False
lolB,100.0,623,0,0,1,623,1712262,1712884,0.0,1151,623,L02-2,3,False
gmk,100.0,623,0,0,1,623,4289443,4290065,0.0,1151,623,L02-2,3,False
rpsD,100.0,620,0,0,1,620,3579552,3578933,0.0,1146,620,L02-2,3,False
coaE,100.0,620,0,0,1,620,731655,732274,0.0,1146,620,L02-2,3,False
lolA,100.0,614,0,0,1,614,1437881,1438494,0.0,1134,614,L02-2,3,False
lexA,100.0,608,0,0,1,608,331347,331954,0.0,1123,608,L02-2,3,False
rplD,100.0,605,0,0,1,605,3568926,3568322,0.0,1118,605,L02-2,3,False
yihA,100.0,596,0,0,1,596,124377,124972,0.0,1101,596,L02-2,3,False
grpE,100.0,593,0,0,1,593,4181738,4181146,0.0,1096,593,L02-2,3,False
ribA,100.0,590,0,0,1,590,1786754,1787343,0.0,1090,590,L02-2,3,False
pth,100.0,584,0,0,1,584,1707314,1707897,0.0,1079,584,L02-2,3,False
rlpB,100.0,581,0,0,1,581,1175583,1176163,0.0,1074,581,L02-2,3,False
yrbK,100.0,575,0,0,1,575,3675381,3674807,0.0,1062,575,L02-2,3,False
yrdC,99.825,572,0,1,1,572,3589763,3589193,0.0,1050,572,L02-2,3,False
efp,100.0,566,0,0,1,566,449810,450375,0.0,1046,566,L02-2,3,False
kdsC,100.0,566,0,0,1,566,3675944,3675379,0.0,1046,566,L02-2,3,False
frr,100.0,557,0,0,1,557,809113,809669,0.0,1029,557,L02-2,3,False
yhbN,100.0,557,0,0,1,557,3674837,3674281,0.0,1029,557,L02-2,3,False
pgsA,100.0,548,0,0,1,548,2687342,2687889,0.0,1013,548,L02-2,3,False
hemG,100.0,545,0,0,1,545,108855,109399,0.0,1007,545,L02-2,3,False
orn,100.0,545,0,0,1,545,465711,466255,0.0,1007,545,L02-2,3,False
nusG,100.0,545,0,0,1,545,251982,252526,0.0,1007,545,L02-2,3,False
infC,100.0,542,0,0,1,542,2128701,2129242,0.0,1002,542,L02-2,3,False
rpsG,100.0,539,0,0,1,539,3562991,3562453,0.0,996,539,L02-2,3,False
dnaT,100.0,539,0,0,1,539,583574,584112,0.0,996,539,L02-2,3,False
rplE,100.0,539,0,0,1,539,3573708,3573170,0.0,996,539,L02-2,3,False
ssb,100.0,536,0,0,1,536,348357,348892,0.0,990,536,L02-2,3,False
rplF,100.0,533,0,0,1,533,3575000,3574468,0.0,985,533,L02-2,3,False
fldA,100.0,530,0,0,1,530,1213726,1214255,0.0,979,530,L02-2,3,False
ppa,100.0,530,0,0,1,530,523224,523753,0.0,979,530,L02-2,3,False
fabA,100.0,518,0,0,1,518,1516460,1516977,0.0,957,518,L02-2,3,False
secM,100.0,512,0,0,1,512,726761,727272,0.0,946,512,L02-2,3,False
def,100.0,509,0,0,1,509,3586917,3586409,0.0,941,509,L02-2,3,False
