,line,gen_id,prime_end,distance,initial_weight,factor,normalized_weight,cumulative_weight
2538,L01-4,2,distance_3_prime,10698,10698,12,0.10690116039420927,30.109354045205986
779,L04-2,2,distance_5_prime,10699,10699,12,0.09404171037133834,30.203395755577326
663,L03-4,2,distance_5_prime,10727,10727,12,0.08091675990998354,30.284312515487308
2383,L01-1,2,distance_3_prime,10746,10746,12,0.10399254200765798,30.388305057494964
3141,L04-2,2,distance_3_prime,10760,10760,12,0.09457788611978694,30.48288294361475
3203,L04-3,2,distance_3_prime,10760,10760,12,0.03851390954063394,30.521396853155384
3272,L04-4,2,distance_3_prime,10760,10760,12,0.06805962596723523,30.589456479122617
3127,L04-2,1,distance_3_prime,10761,10761,8,0.09159710806454187,30.681053587187158
3188,L04-3,1,distance_3_prime,10761,10761,8,0.09159710806454187,30.7726506952517
3067,L04-1,1,distance_3_prime,10761,10761,8,0.09159710806454187,30.86424780331624
3258,L04-4,1,distance_3_prime,10761,10761,8,0.09159710806454187,30.95584491138078
2548,L01-4,2,distance_3_prime,10796,10796,12,0.10788043817684458,31.063725349557625
1153,L05-4,2,distance_5_prime,10797,10797,12,0.060338913905138195,31.124064263462763
2924,L03-2,2,distance_3_prime,10805,10805,12,0.0820616291315619,31.206125892594326
2957,L03-3,1,distance_3_prime,10806,10806,8,0.10908953246261593,31.31521542505694
2878,L03-1,2,distance_3_prime,10806,10806,12,0.10612933059427253,31.421344755651212
2864,L03-1,1,distance_3_prime,10806,10806,8,0.10908953246261593,31.530434288113828
2905,L03-2,1,distance_3_prime,10806,10806,8,0.10908953246261593,31.639523820576443
3013,L03-4,1,distance_3_prime,10806,10806,8,0.10908953246261593,31.748613353039058
3034,L03-4,2,distance_3_prime,10806,10806,12,0.08151267899573805,31.830126032034798
2444,L01-2,2,distance_3_prime,10814,10814,12,0.12660230925702803,31.956728341291825
302,L02-2,2,distance_5_prime,10839,10839,12,0.06955188157122186,32.02628022286304
3632,L06-2,2,distance_3_prime,10886,10886,12,0.06655068151887901,32.09283090438192
3154,L04-2,2,distance_3_prime,10946,10946,12,0.09621278266423679,32.18904368704616
2735,L02-3,2,distance_3_prime,10966,10966,12,0.08171213474131818,32.270755821787475
594,L03-3,2,distance_5_prime,11005,11005,12,0.09181002568817544,32.36256584747565
3506,L05-4,2,distance_3_prime,11008,11008,12,0.06151808504841727,32.42408393252407
3352,L05-1,2,distance_3_prime,11035,11035,12,0.07290248453120708,32.496986417055275
1986,L10-1,2,distance_5_prime,11141,11141,12,0.1120784545828747,32.60906487163815
2015,L10-2,1,distance_5_prime,11141,11141,8,0.08893802837139869,32.69800290000955
1976,L10-1,1,distance_5_prime,11141,11141,8,0.08893802837139869,32.78694092838095
2113,L10-4,1,distance_5_prime,11141,11141,8,0.08893802837139869,32.87587895675235
2068,L10-3,1,distance_5_prime,11141,11141,8,0.08893802837139869,32.964816985123754
169,L01-4,2,distance_5_prime,11142,11142,12,0.11133788830737332,33.07615487343113
14,L01-1,2,distance_5_prime,11143,11143,12,0.10783444031186795,33.183989313743
2025,L10-2,2,distance_5_prime,11145,11145,12,0.06357587938551873,33.247565193128516
1591,L07-4,2,distance_5_prime,11165,11165,12,0.10095918002880028,33.34852437315732
1018,L05-2,1,distance_5_prime,11174,11174,8,0.07879841930681156,33.42732279246413
1082,L05-3,1,distance_5_prime,11174,11174,8,0.07879841930681156,33.506121211770946
1133,L05-4,1,distance_5_prime,11174,11174,8,0.0788523573584037,33.58497356912935
968,L05-1,1,distance_5_prime,11174,11174,8,0.0788523573584037,33.66382592648776
1788,L08-4,2,distance_5_prime,11190,11190,12,0.10533003882809744,33.76915596531586
3285,L04-4,2,distance_3_prime,11196,11196,12,0.07081743237259903,33.83997339768846
3218,L04-3,2,distance_3_prime,11196,11196,12,0.04007451033614661,33.88004790802461
3265,L04-4,1,distance_3_prime,11197,11197,8,0.09530831883641626,33.975356226861024
3134,L04-2,1,distance_3_prime,11197,11197,8,0.09530831883641626,34.07066454569744
3074,L04-1,1,distance_3_prime,11197,11197,8,0.09530831883641626,34.165972864533856
3195,L04-3,1,distance_3_prime,11197,11197,8,0.09530831883641626,34.26128118337027
3151,L04-2,2,distance_3_prime,11197,11197,12,0.09841901402260728,34.35970019739288
412,L02-4,1,distance_5_prime,11201,11201,8,0.10151522875705926,34.46121542614994
209,L02-1,1,distance_5_prime,11201,11201,8,0.10151522875705926,34.562730654907
345,L02-3,1,distance_5_prime,11201,11201,8,0.10151522875705926,34.66424588366406
276,L02-2,1,distance_5_prime,11201,11201,8,0.10151522875705926,34.76576111242112
429,L02-4,2,distance_5_prime,11202,11202,12,0.09353251831699358,34.85929363073811
226,L02-1,2,distance_5_prime,11202,11202,12,0.09065839017017668,34.949952020908285
364,L02-3,2,distance_5_prime,11202,11202,12,0.08347066691339106,35.03342268782168
295,L02-2,2,distance_5_prime,11203,11203,12,0.07188760303002108,35.1053102908517
1534,L07-3,2,distance_5_prime,11238,11238,12,0.10858460606919475,35.21389489692089
4236,L09-2,2,distance_3_prime,11265,11265,12,0.16468194748158932,35.37857684440248
2806,L02-4,2,distance_3_prime,11271,11271,12,0.0941086425594389,35.47268548696192
3522,L05-4,2,distance_3_prime,11291,11291,12,0.06309962738750721,35.53578511434943
2821,L02-4,2,distance_3_prime,11294,11294,12,0.09430068397358735,35.630085798323016
2612,L02-1,2,distance_3_prime,11294,11294,12,0.09140295113211708,35.72148874945513
2751,L02-3,2,distance_3_prime,11294,11294,12,0.08415619640419911,35.805644945859335
2658,L02-2,1,distance_3_prime,11295,11295,8,0.10236715550495352,35.908012101364285
2727,L02-3,1,distance_3_prime,11295,11295,8,0.10236715550495352,36.010379256869236
2591,L02-1,1,distance_3_prime,11295,11295,8,0.10236715550495352,36.112746412374186
2794,L02-4,1,distance_3_prime,11295,11295,8,0.10236715550495352,36.215113567879136
2326,L11-4,2,distance_5_prime,11300,11300,12,0.08104778771217516,36.29616135559131
1790,L08-4,2,distance_5_prime,11330,11330,12,0.10664784092246146,36.40280919651377
772,L04-2,2,distance_5_prime,11368,11368,12,0.09992206407153698,36.50273126058531
709,L04-1,1,distance_5_prime,11417,11417,8,0.09718094812497673,36.599912208710286
900,L04-4,1,distance_5_prime,11417,11417,8,0.09718094812497673,36.697093156835265
769,L04-2,1,distance_5_prime,11417,11417,8,0.09718094812497673,36.794274104960245
830,L04-3,1,distance_5_prime,11417,11417,8,0.09718094812497673,36.891455053085224
2661,L02-2,2,distance_3_prime,11425,11425,12,0.07331213644720083,36.964767189532424
3468,L05-3,2,distance_3_prime,11477,11477,12,0.09710313630072613,37.06187032583315
4451,L10-3,2,distance_3_prime,11483,11483,12,0.09800840848359235,37.15987873431674
2291,L11-3,2,distance_5_prime,11484,11484,12,0.15849218050958375,37.318370914826325
2190,L11-1,2,distance_5_prime,11484,11484,12,0.12253989651404015,37.440910811340366
2242,L11-2,2,distance_5_prime,11484,11484,12,0.09522493338787605,37.53613574472824
2338,L11-4,2,distance_5_prime,11484,11484,12,0.08236750390147075,37.618503248629715
2317,L11-4,1,distance_5_prime,11485,11485,8,0.10231865110431312,37.72082189973403
2222,L11-2,1,distance_5_prime,11485,11485,8,0.10231865110431312,37.82314055083834
2279,L11-3,1,distance_5_prime,11485,11485,8,0.10231865110431312,37.92545920194265
2173,L11-1,1,distance_5_prime,11485,11485,8,0.10231865110431312,38.02777785304696
2550,L01-4,2,distance_3_prime,11583,11583,12,0.11574463832923218,38.143522491376196
1033,L05-2,2,distance_5_prime,11589,11589,12,0.07701475080465983,38.22053724218085
3277,L04-4,2,distance_3_prime,11697,11697,12,0.07398637964114782,38.294523621822
3210,L04-3,2,distance_3_prime,11697,11697,12,0.041867769507137095,38.33639139132914
3132,L04-2,1,distance_3_prime,11697,11697,8,0.0995642944922355,38.43595568582137
3263,L04-4,1,distance_3_prime,11697,11697,8,0.0995642944922355,38.5355199803136
3072,L04-1,1,distance_3_prime,11697,11697,8,0.0995642944922355,38.635084274805834
3147,L04-2,2,distance_3_prime,11697,11697,12,0.10281389720661224,38.73789817201244
3193,L04-3,1,distance_3_prime,11697,11697,8,0.0995642944922355,38.837462466504675
3404,L05-2,2,distance_3_prime,11712,11712,12,0.07783214784918249,38.915294614353854
1249,L06-2,2,distance_5_prime,11740,11740,12,0.07177154152412635,38.98706615587798
4494,L10-4,2,distance_3_prime,11767,11767,12,0.11345778517714422,39.10052394105513
3732,L06-4,1,distance_3_prime,11767,11767,8,0.12857176026780776,39.22909570132294
3676,L06-3,1,distance_3_prime,11767,11767,8,0.12857176026780776,39.35766746159075
3571,L06-1,2,distance_3_prime,11767,11767,12,0.11481036093501121,39.47247782252576
3611,L06-2,1,distance_3_prime,11767,11767,8,0.12857176026780776,39.60104958279357
3556,L06-1,1,distance_3_prime,11767,11767,8,0.12857176026780776,39.72962134306138
3744,L06-4,2,distance_3_prime,11768,11768,12,0.08790409828208043,39.81752544134346
3624,L06-2,2,distance_3_prime,11768,11768,12,0.07194271726200331,39.88946815860547
2224,L11-2,2,distance_5_prime,11774,11774,12,0.0976296034229234,39.98709776202839
2280,L11-3,2,distance_5_prime,11775,11775,12,0.16250830943054234,40.14960607145893
2174,L11-1,2,distance_5_prime,11775,11775,12,0.12564500883427573,40.27525108029321
2318,L11-4,2,distance_5_prime,11775,11775,12,0.08445466374432412,40.359705744037534
2306,L11-4,1,distance_5_prime,11776,11776,8,0.10491113934735667,40.46461688338489
2211,L11-2,1,distance_5_prime,11776,11776,8,0.10491113934735667,40.56952802273225
2268,L11-3,1,distance_5_prime,11776,11776,8,0.10491113934735667,40.67443916207961
2162,L11-1,1,distance_5_prime,11776,11776,8,0.10491113934735667,40.779350301426966
4227,L09-2,1,distance_3_prime,11783,11783,8,0.13944337442788632,40.91879367585485
4184,L09-1,1,distance_3_prime,11783,11783,8,0.12792973256139037,41.04672340841624
4264,L09-3,1,distance_3_prime,11783,11783,8,0.12792973256139037,41.17465314097763
4313,L09-4,1,distance_3_prime,11783,11783,8,0.13944337442788632,41.31409651540552
4197,L09-1,2,distance_3_prime,11786,11786,12,0.15894021873496927,41.473036734140486
4238,L09-2,2,distance_3_prime,11787,11787,12,0.17231301508792662,41.645349749228416
4281,L09-3,2,distance_3_prime,11787,11787,12,0.11773930936660307,41.76308905859502
4325,L09-4,2,distance_3_prime,11790,11790,12,0.18525744604514374,41.94834650464016
3580,L06-1,2,distance_3_prime,11796,11796,12,0.11509331329900503,42.06343981793917
3220,L04-3,2,distance_3_prime,11887,11887,12,0.04254784783545684,42.10598766577463
3136,L04-2,1,distance_3_prime,11888,11888,8,0.10119007719275845,42.20717774296739
3197,L04-3,1,distance_3_prime,11888,11888,8,0.10119007719275845,42.30836782016015
3288,L04-4,2,distance_3_prime,11888,11888,12,0.07519450125450673,42.38356232141466
3076,L04-1,1,distance_3_prime,11888,11888,8,0.10119007719275845,42.48475239860742
3267,L04-4,1,distance_3_prime,11888,11888,8,0.10119007719275845,42.58594247580018
834,L04-3,2,distance_5_prime,11902,11902,12,0.04260153822979787,42.62854401402998
819,L04-3,1,distance_5_prime,11902,11902,8,0.1013092445111214,42.7298532585411
889,L04-4,1,distance_5_prime,11902,11902,8,0.1013092445111214,42.83116250305222
698,L04-1,1,distance_5_prime,11902,11902,8,0.1013092445111214,42.93247174756334
758,L04-2,1,distance_5_prime,11902,11902,8,0.1013092445111214,43.03378099207446
2485,L01-3,2,distance_3_prime,11923,11923,12,0.0809588127217758,43.11473980479624
1907,L09-3,2,distance_5_prime,12005,12005,12,0.11991689224960293,43.23465669704584
159,L01-4,1,distance_5_prime,12060,12060,8,0.12709319113509185,43.36174988818093
58,L01-2,1,distance_5_prime,12060,12060,8,0.12709319113509185,43.48884307931602
2,L01-1,1,distance_5_prime,12060,12060,8,0.12709319113509185,43.61593627045111
105,L01-3,1,distance_5_prime,12060,12060,8,0.12709319113509185,43.7430294615862
13,L01-1,2,distance_5_prime,12069,12069,12,0.11679564391312341,43.85982510549932
69,L01-2,2,distance_5_prime,12069,12069,12,0.14129492051258286,44.001120026011904
168,L01-4,2,distance_5_prime,12069,12069,12,0.12060105672066851,44.12172108273257
607,L03-3,2,distance_5_prime,12142,12142,12,0.10129553220407325,44.22301661493665
604,L03-3,2,distance_5_prime,12203,12203,12,0.10180442921152247,44.324821044148166
1431,L07-1,2,distance_5_prime,12206,12206,12,0.1119340708383898,44.43675511498655
1631,L08-1,2,distance_5_prime,12207,12207,12,0.1500956003352672,44.58685071532182
1616,L08-1,1,distance_5_prime,12208,12208,8,0.07899847687856362,44.66584919220038
1466,L07-2,1,distance_5_prime,12208,12208,8,0.0827997127647579,44.748648904965144
1480,L07-2,2,distance_5_prime,12208,12208,12,0.10406119675774814,44.85271010172289
1514,L07-3,1,distance_5_prime,12208,12208,8,0.0827997127647579,44.93550981448765
1661,L08-2,1,distance_5_prime,12208,12208,8,0.07899847687856362,45.01450829136621
1715,L08-3,1,distance_5_prime,12208,12208,8,0.07899847687856362,45.09350676824477
1564,L07-4,1,distance_5_prime,12208,12208,8,0.08190375235654432,45.17541052060132
1761,L08-4,1,distance_5_prime,12208,12208,8,0.07899847687856362,45.25440899747988
1528,L07-3,2,distance_5_prime,12208,12208,12,0.11795700933375419,45.372366006813635
1417,L07-1,1,distance_5_prime,12208,12208,8,0.0827997127647579,45.455165719578396
1776,L08-4,2,distance_5_prime,12208,12208,12,0.11491234262854452,45.57007806220694
1730,L08-3,2,distance_5_prime,12209,12209,12,0.12396748759969742,45.69404554980664
1676,L08-2,2,distance_5_prime,12209,12209,12,0.12357641835207825,45.81762196815872
1578,L07-4,2,distance_5_prime,12209,12209,12,0.1103995189405842,45.9280214870993
3356,L05-1,2,distance_3_prime,12230,12230,12,0.08079722571967943,46.00881871281898
3756,L06-4,2,distance_3_prime,12356,12356,12,0.09229631529345562,46.10111502811243
426,L02-4,2,distance_5_prime,12398,12398,12,0.1035186718527126,46.20463369996514
3502,L05-4,1,distance_3_prime,12411,12411,8,0.08758158288662504,46.29221528285177
3337,L05-1,1,distance_3_prime,12411,12411,8,0.08758158288662504,46.3797968657384
3387,L05-2,1,distance_3_prime,12411,12411,8,0.08752167370832632,46.46731853944672
3451,L05-3,1,distance_3_prime,12411,12411,8,0.08752167370832632,46.554840213155046
300,L02-2,2,distance_5_prime,12429,12429,12,0.07975462091048219,46.63459483406553
838,L04-3,2,distance_5_prime,12485,12485,12,0.04468830488985266,46.679283138955384
2474,L01-3,1,distance_3_prime,12540,12540,8,0.1321516266031552,46.81143476555854
2427,L01-2,1,distance_3_prime,12540,12540,8,0.1321516266031552,46.94358639216169
2371,L01-1,1,distance_3_prime,12540,12540,8,0.1321516266031552,47.075738018764845
2528,L01-4,1,distance_3_prime,12540,12540,8,0.1321516266031552,47.207889645368
3643,L06-2,2,distance_3_prime,12624,12624,12,0.07717580410567045,47.28506544947367
243,L02-1,2,distance_5_prime,12681,12681,12,0.10262801693876188,47.38769346641243
1320,L06-3,2,distance_5_prime,12689,12689,12,0.10128411075081067,47.48897757716324
4002,L08-1,2,distance_3_prime,12751,12751,12,0.15678454983820694,47.64576212700145
2022,L10-2,1,distance_5_prime,12891,12891,8,0.10290818811019661,47.748670315111646
2075,L10-3,1,distance_5_prime,12891,12891,8,0.10290818811019661,47.851578503221845
2120,L10-4,1,distance_5_prime,12891,12891,8,0.10290818811019661,47.95448669133204
1983,L10-1,1,distance_5_prime,12891,12891,8,0.10290818811019661,48.05739487944224
2089,L10-3,2,distance_5_prime,12894,12894,12,0.11005141678894365,48.167446296231184
2044,L10-2,2,distance_5_prime,12894,12894,12,0.07355292855961225,48.2409992247908
2134,L10-4,2,distance_5_prime,12895,12895,12,0.12433399675867039,48.36533322154947
1995,L10-1,2,distance_5_prime,12895,12895,12,0.12972369373002146,48.49505691527949
1997,L10-1,2,distance_5_prime,13034,13034,12,0.13112203366243502,48.62617894894193
4659,L11-3,2,distance_3_prime,13134,13134,12,0.18126404552532854,48.80744299446726
3759,L06-4,2,distance_3_prime,13147,13147,12,0.09820489293971035,48.90564788740697
3350,L05-1,2,distance_3_prime,13174,13174,12,0.0870337409346735,48.99268162834164
80,L01-2,2,distance_5_prime,13230,13230,12,0.15488704933146666,49.14756867767311
4058,L08-2,2,distance_3_prime,13235,13235,12,0.13396133154965645,49.28153000922276
3961,L07-4,2,distance_3_prime,13236,13236,12,0.11968613585859385,49.40121614508136
4112,L08-3,2,distance_3_prime,13236,13236,12,0.134395418614923,49.53561156369628
3911,L07-3,2,distance_3_prime,13236,13236,12,0.1278898243399058,49.66350138803618
4013,L08-1,2,distance_3_prime,13236,13236,12,0.16274804342079108,49.82624943145697
3815,L07-1,2,distance_3_prime,13236,13236,12,0.12137959705201765,49.94762902850899
4158,L08-4,2,distance_3_prime,13236,13236,12,0.12458877515001765,50.07221780365901
3863,L07-2,2,distance_3_prime,13236,13236,12,0.11282388599979969,50.18504168965881
4043,L08-2,1,distance_3_prime,13237,13237,8,0.0856571787714242,50.27069886843024
4097,L08-3,1,distance_3_prime,13237,13237,8,0.0856571787714242,50.356356047201665
3945,L07-4,1,distance_3_prime,13237,13237,8,0.0888073369875145,50.44516338418918
3895,L07-3,1,distance_3_prime,13237,13237,8,0.08977881699435618,50.53494220118353
3847,L07-2,1,distance_3_prime,13237,13237,8,0.08977881699435618,50.62472101817789
4143,L08-4,1,distance_3_prime,13237,13237,8,0.0856571787714242,50.710378196949314
3998,L08-1,1,distance_3_prime,13237,13237,8,0.0856571787714242,50.79603537572074
3798,L07-1,1,distance_3_prime,13237,13237,8,0.08977881699435618,50.885814192715095
3811,L07-1,2,distance_3_prime,13327,13327,12,0.12221410470778477,51.00802829742288
3795,L07-1,1,distance_3_prime,13328,13328,8,0.09039601668813019,51.098424314111014
3995,L08-1,1,distance_3_prime,13328,13328,8,0.08624604356467037,51.184670357675685
4010,L08-1,2,distance_3_prime,13328,13328,12,0.16387926282202353,51.34854962049771
4109,L08-3,2,distance_3_prime,13328,13328,12,0.13532956628133075,51.483879186779035
3908,L07-3,2,distance_3_prime,13328,13328,12,0.12877875330932795,51.61265794008836
4140,L08-4,1,distance_3_prime,13328,13328,8,0.08624604356467037,51.69890398365303
4040,L08-2,1,distance_3_prime,13328,13328,8,0.08624604356467037,51.7851500272177
4055,L08-2,2,distance_3_prime,13328,13328,12,0.1349026540909574,51.92005268130866
3892,L07-3,1,distance_3_prime,13328,13328,8,0.09039601668813019,52.01044869799679
3942,L07-4,1,distance_3_prime,13328,13328,8,0.0894178580773282,52.09986655607412
3844,L07-2,1,distance_3_prime,13328,13328,8,0.09039601668813019,52.19026257276225
4094,L08-3,1,distance_3_prime,13328,13328,8,0.08624604356467037,52.27650861632692
4155,L08-4,2,distance_3_prime,13328,13328,12,0.12545475938345688,52.40196337571038
3860,L07-2,2,distance_3_prime,13328,13328,12,0.11360809554286266,52.515571471253246
3957,L07-4,2,distance_3_prime,13328,13328,12,0.12051804311901926,52.636089514372266
450,L02-4,2,distance_5_prime,13431,13431,12,0.11214383623598828,52.74823335060825
1326,L06-3,2,distance_5_prime,13439,13439,12,0.10727064105762035,52.85550399166587
4592,L11-2,2,distance_3_prime,13663,13663,12,0.11329312651328374,52.968797118179154
2497,L01-3,2,distance_3_prime,13743,13743,12,0.093316863476924,53.062113981656076
3014,L03-4,2,distance_3_prime,13785,13785,12,0.10398410882437989,53.16609809048045
238,L02-1,2,distance_5_prime,13800,13800,12,0.11168414429105859,53.277782234771514
382,L02-3,2,distance_5_prime,13831,13831,12,0.10306041725398246,53.3808426520255
425,L02-4,1,distance_5_prime,13833,13833,8,0.12536917769809847,53.5062118297236
358,L02-3,1,distance_5_prime,13833,13833,8,0.12536917769809847,53.631581007421694
222,L02-1,1,distance_5_prime,13833,13833,8,0.12536917769809847,53.75695018511979
452,L02-4,2,distance_5_prime,13833,13833,12,0.11550038617023498,53.872450571290024
289,L02-2,1,distance_5_prime,13833,13833,8,0.12536917769809847,53.99781974898812
314,L02-2,2,distance_5_prime,13833,13833,12,0.0887638322515649,54.08658358123969
2079,L10-3,2,distance_5_prime,13848,13848,12,0.11819389015769285,54.20477747139738
1097,L05-3,2,distance_5_prime,13856,13856,12,0.11723107576743587,54.32200854716481
3395,L05-2,2,distance_3_prime,13887,13887,12,0.09228611997793693,54.41429466714275
1386,L06-4,2,distance_5_prime,14024,14024,12,0.10475586967266282,54.51905053681541
1367,L06-4,1,distance_5_prime,14025,14025,8,0.15324372718245974,54.67229426399787
1191,L06-1,1,distance_5_prime,14025,14025,8,0.15324372718245974,54.825537991180326
1311,L06-3,1,distance_5_prime,14025,14025,8,0.15324372718245974,54.97878171836278
1210,L06-1,2,distance_5_prime,14025,14025,12,0.13684161741425446,55.11562333577704
1267,L06-2,2,distance_5_prime,14025,14025,12,0.08574070441872846,55.20136404019576
1246,L06-2,1,distance_5_prime,14025,14025,8,0.15324372718245974,55.35460776737822
1331,L06-3,2,distance_5_prime,14025,14025,12,0.11194811673734098,55.46655588411556
1835,L09-1,2,distance_5_prime,14050,14050,12,0.18947141296676723,55.656027297082325
304,L02-2,2,distance_5_prime,14057,14057,12,0.09020119930313365,55.746228496385456
2042,L10-2,2,distance_5_prime,14169,14169,12,0.08082607761448317,55.82705457399994
3200,L04-3,2,distance_3_prime,14244,14244,12,0.050984398466244404,55.87803897246618
4691,L11-4,2,distance_3_prime,14264,14264,12,0.10230669415278465,55.980345666618966
3568,L06-1,2,distance_3_prime,14286,14286,12,0.13938818869019887,56.119733855309164
4190,L09-1,2,distance_3_prime,14306,14306,12,0.1929237034806101,56.31265755878977
4605,L11-2,2,distance_3_prime,14318,14318,12,0.11872436400623555,56.43138192279601
4655,L11-3,2,distance_3_prime,14318,14318,12,0.19760458381541451,56.62898650661142
4552,L11-1,2,distance_3_prime,14318,14318,12,0.15278006254685012,56.78176656915827
4681,L11-4,1,distance_3_prime,14320,14320,8,0.1275753664617992,56.90934193562007
4643,L11-3,1,distance_3_prime,14320,14320,8,0.1275753664617992,57.03691730208187
4586,L11-2,1,distance_3_prime,14320,14320,8,0.1275753664617992,57.164492668543666
4537,L11-1,1,distance_3_prime,14320,14320,8,0.1275753664617992,57.292068035005464
2976,L03-3,2,distance_3_prime,14321,14321,12,0.11947400071607094,57.41154203572153
76,L01-2,2,distance_5_prime,14403,14403,12,0.1686196652699255,57.580161700991454
2091,L10-3,2,distance_5_prime,14455,14455,12,0.12337468820258882,57.70353638919404
1330,L06-3,2,distance_5_prime,14468,14468,12,0.11548416063856323,57.81902054983261
20,L01-1,2,distance_5_prime,14503,14503,12,0.14035025467495477,57.959370804507564
176,L01-4,2,distance_5_prime,14503,14503,12,0.1449231191995903,58.104293923707154
125,L01-3,2,distance_5_prime,14503,14503,12,0.098477368187865,58.20277129189502
6,L01-1,1,distance_5_prime,14505,14505,8,0.15285959680053957,58.35563088869556
163,L01-4,1,distance_5_prime,14505,14505,8,0.15285959680053957,58.5084904854961
62,L01-2,1,distance_5_prime,14505,14505,8,0.15285959680053957,58.661350082296636
109,L01-3,1,distance_5_prime,14505,14505,8,0.15285959680053957,58.814209679097175
1020,L05-2,2,distance_5_prime,14507,14507,12,0.09640633272268533,58.91061601181986
553,L03-2,2,distance_5_prime,14509,14509,12,0.11019270495787427,59.020808716777736
1329,L06-3,2,distance_5_prime,14580,14580,12,0.11637814916438015,59.13718686594212
2339,L11-4,2,distance_5_prime,14668,14668,12,0.10520433187275977,59.24239119781488
2449,L01-2,2,distance_3_prime,14757,14757,12,0.1727640352973888,59.41515523311227
2551,L01-4,2,distance_3_prime,14757,14757,12,0.14746124733009405,59.562616480442365
2500,L01-3,2,distance_3_prime,14757,14757,12,0.10020206318336372,59.662818543625725
2393,L01-1,2,distance_3_prime,14758,14758,12,0.14281797272929617,59.80563651635502
2433,L01-2,1,distance_3_prime,14758,14758,8,0.15552581382849795,59.96116233018352
2480,L01-3,1,distance_3_prime,14758,14758,8,0.15552581382849795,60.116688144012016
2534,L01-4,1,distance_3_prime,14758,14758,8,0.15552581382849795,60.27221395784051
2377,L01-1,1,distance_3_prime,14758,14758,8,0.15552581382849795,60.42773977166901
3018,L03-4,2,distance_3_prime,14811,14811,12,0.11172351365962208,60.53946328532863
980,L05-1,2,distance_5_prime,14834,14834,12,0.09800049438476899,60.6374637797134
3639,L06-2,2,distance_3_prime,14894,14894,12,0.09105326571212419,60.72851704542553
1673,L08-2,1,distance_5_prime,14896,14896,8,0.09639263692521984,60.82490968235074
1575,L07-4,1,distance_5_prime,14896,14896,8,0.09993760608642563,60.92484728843717
1773,L08-4,1,distance_5_prime,14896,14896,8,0.09639263692521984,61.02123992536239
1727,L08-3,1,distance_5_prime,14896,14896,8,0.09639263692521984,61.1176325622876
1628,L08-1,1,distance_5_prime,14896,14896,8,0.09639263692521984,61.21402519921282
1688,L08-2,2,distance_5_prime,14896,14896,12,0.1507735545722465,61.36479875378507
1742,L08-3,2,distance_5_prime,14897,14897,12,0.15126084550517588,61.516059599290244
1439,L07-1,2,distance_5_prime,15019,15019,12,0.1377304448567734,61.653790044147016
1274,L06-2,2,distance_5_prime,15056,15056,12,0.09204363962412661,61.745833683771146
127,L01-3,2,distance_5_prime,15062,15062,12,0.10227305520551766,61.84810673897666
2962,L03-3,2,distance_3_prime,15103,15103,12,0.1259978935000921,61.97410463247675
4331,L09-4,2,distance_3_prime,15123,15123,12,0.23762920750981414,62.211733839986564
2441,L01-2,2,distance_3_prime,15156,15156,12,0.17743523202325842,62.38916907200982
2487,L01-3,2,distance_3_prime,15156,15156,12,0.10291132815660772,62.49208040016643
2385,L01-1,2,distance_3_prime,15157,15157,12,0.14667922568491273,62.63875962585134
2373,L01-1,1,distance_3_prime,15158,15158,8,0.15974117671855076,62.79850080256989
2530,L01-4,1,distance_3_prime,15158,15158,8,0.15974117671855076,62.95824197928844
2540,L01-4,2,distance_3_prime,15158,15158,12,0.15146829213455076,63.10971027142299
2429,L01-2,1,distance_3_prime,15158,15158,8,0.15974117671855076,63.26945144814154
2476,L01-3,1,distance_3_prime,15158,15158,8,0.15974117671855076,63.429192624860086
4706,L11-4,2,distance_3_prime,15173,15173,12,0.10882637902272864,63.538019003882816
4610,L11-2,2,distance_3_prime,15174,15174,12,0.12582228659244438,63.66384129047526
4557,L11-1,2,distance_3_prime,15174,15174,12,0.16191400119331636,63.82575529166858
4685,L11-4,1,distance_3_prime,15178,15178,8,0.13521919777633998,63.960974489444915
4590,L11-2,1,distance_3_prime,15178,15178,8,0.13521919777633998,64.09619368722126
4647,L11-3,1,distance_3_prime,15178,15178,8,0.13521919777633998,64.2314128849976
4541,L11-1,1,distance_3_prime,15178,15178,8,0.13521919777633998,64.36663208277393
3389,L05-2,2,distance_3_prime,15294,15294,12,0.10163634470674496,64.46826842748068
1783,L08-4,2,distance_5_prime,15327,15327,12,0.1442710907165549,64.61253951819724
4547,L11-1,2,distance_3_prime,15360,15360,12,0.16389871216088964,64.77643823035812
2322,L11-4,2,distance_5_prime,15539,15539,12,0.11145146666013184,64.88788969701825
2136,L10-4,2,distance_5_prime,15541,15541,12,0.1498468122238462,65.0377365092421
3222,L04-3,2,distance_3_prime,15657,15657,12,0.05604203361316966,65.09377854285526
2122,L10-4,1,distance_5_prime,15712,15712,8,0.12542808560913887,65.2192066284644
2077,L10-3,1,distance_5_prime,15712,15712,8,0.12542808560913887,65.34463471407355
1985,L10-1,1,distance_5_prime,15712,15712,8,0.12542808560913887,65.4700627996827
2024,L10-2,1,distance_5_prime,15712,15712,8,0.12542808560913887,65.59549088529184
1998,L10-1,2,distance_5_prime,15713,15713,12,0.158072772359816,65.75356365765165
982,L05-1,2,distance_5_prime,15776,15776,12,0.10422379664379908,65.85778745429545
1095,L05-3,2,distance_5_prime,15776,15776,12,0.1334755666359027,65.99126302093136
